"question_no","question","option1","option2","option3","option4","correct_answer","description","reference"
"1","कृषी माल निर्यात धोरण जाहीर करणारे भारतातील पहिले राज्य कोणते?","पंजाब","महाराष्ट्र","मध्य प्रदेश","छत्तीसगड","2","महाराष्ट्र हे पहिले राज्य आहे ज्याने कृषी माल निर्यात धोरण जाहीर केले.","(1 liner - current)"
"2","500 अब्ज डॉलर अर्थव्यवस्थेचा टप्पा ओलांडणारे भारतातील पहिले राज्य कोणते?","गुजरात","महाराष्ट्र","कर्नाटक","तामिळनाडू","4","तामिळनाडू हे पहिले राज्य आहे ज्याने 500 अब्ज डॉलर अर्थव्यवस्थेचा टप्पा ओलांडला.","(1 liner - current)"
"3","'हरित एकात्मिक डेटा सेंटर' पार्कसाठी विशेष धोरण आणणारे भारतातील पहिले राज्य कोणते?","कर्नाटक","महाराष्ट्र","तेलंगणा","गुजरात","3","तेलंगणा हे पहिले राज्य आहे ज्याने हरित एकात्मिक डेटा सेंटर धोरण जाहीर केले.","(1 liner - current)"
"4","महिलांना आरक्षण (सामान्य) देणारे भारतातील पहिले राज्य कोणते?","बिहार","महाराष्ट्र","गोवा","केरळ","1","बिहार हे पहिले राज्य आहे ज्याने महिलांना सामान्य आरक्षण दिले.","(1 liner - current)"
"5","ग्रीन हायड्रोजनच्या वापरास प्रोत्साहन देणारे देशातील पहिले राज्य कोणते?","राजस्थान","महाराष्ट्र","गुजरात","कर्नाटक","3","गुजरात हे पहिले राज्य आहे ज्याने ग्रीन हायड्रोजनच्या वापरास प्रोत्साहन दिले.","(1 liner - current)"
"6","स्थानिक स्वराज्य संस्थामध्ये महिलांना 33% आरक्षण देणारे भारतातील पहिले राज्य कोणते?","गुजरात","महाराष्ट्र","राजस्थान","कर्नाटक","3","राजस्थान हे पहिले राज्य आहे ज्याने स्थानिक स्वराज्य संस्थांमध्ये महिलांना 33% आरक्षण दिले.","(1 liner - current)"
"7","धोकाग्रस्त वन्यजीव अधिवास घोषित करणारे भारतातील पहिले राज्य कोणते?","उत्तराखंड","महाराष्ट्र","हिमाचल प्रदेश","ओडिशा","4","ओडिशा हे पहिले राज्य आहे ज्याने धोकाग्रस्त वन्यजीव अधिवास घोषित केला.","(1 liner - current)"
"8","कृत्रिम बुद्धिमत्ता विद्यापीठ स्थापन करणारे भारतातील पहिले राज्य कोणते?","केरळ","महाराष्ट्र","हरियाणा","उत्तर प्रदेश","2","महाराष्ट्र हे पहिले राज्य आहे ज्याने कृत्रिम बुद्धिमत्ता विद्यापीठ स्थापन केले.","(1 liner - current)"
"9","गुन्हे सिद्धतेकरिता 'मोबाईल फॉरेन्सिक व्हॅन' सुरू करणारे देशातील पहिले राज्य कोणते?","पंजाब","महाराष्ट्र","हरियाणा","तामिळनाडू","2","महाराष्ट्र हे पहिले राज्य आहे ज्याने गुन्हे सिद्धतेकरिता मोबाईल फॉरेन्सिक व्हॅन सुरू केली.","(1 liner - current)"
"10","राज्य सरकारी कर्मचाऱ्यांना केंद्राप्रमाणे सुधारित राष्ट्रीय निवृत्तवेतन योजना सुरू करणारे भारतातील पहिले राज्य कोणते?","उत्तर प्रदेश","महाराष्ट्र","मध्य प्रदेश","आंध्र प्रदेश","4","आंध्र प्रदेश हे पहिले राज्य आहे ज्याने सुधारित राष्ट्रीय निवृत्तवेतन योजना सुरू केली.","(1 liner - current)"
